product_id,text_score,temporal_score,is_anomaly,five_star_pct,burst_ratio,total_reviews,daily_mean,daily_max,hype_score,risk_level
069267599X,0.41969999999999996,0.2961,0,0.5,0.0,2,2.0,2,34.25,Medium
1453085815,0.6820999999999999,0.2953,0,0.5,0.0,2,2.0,2,46.03,Medium
1598438263,0.7921,-0.0,0,1.0,0.0,1,1.0,1,45.64,Medium
1601163509,0.9582,-0.0,0,1.0,0.0,1,1.0,1,53.12,Medium
4293845755,0.3903,0.0645,0,0.0,0.0,1,1.0,1,19.82,Low
6041134546,0.9723,-0.0,0,1.0,0.0,1,1.0,1,53.75,Medium
816091846,0.7637499999999999,0.2291,0,1.0,0.0,2,2.0,2,52.39,Medium
975318283X,0.9582,-0.0,0,1.0,0.0,1,1.0,1,53.12,Medium
979077530X,0.5121666666666667,0.4641,1,1.0,0.0,3,3.0,3,49.29,Medium
985393300,0.2888,-0.0,0,1.0,0.0,1,1.0,1,23.0,Low
B000050FDE,0.3599636363636364,0.7151,1,0.6364,0.0,11,11.0,11,47.59,Medium
B000052Y7Q,0.2288,0.0645,0,0.0,0.0,1,1.0,1,12.55,Low
B0000532XP,0.3311,-0.0,0,1.0,0.0,1,1.0,1,24.9,Low
B00005NAR4,0.3252,0.0645,0,0.0,0.0,1,1.0,1,16.89,Low
B000067E30,0.40752000000000005,0.4917,1,0.8,0.0,5,5.0,5,43.55,Medium
B000068PBJ,0.27035,0.4656,1,0.5,0.0,4,4.0,4,33.46,Medium
B000068PBL,0.2856,-0.0,0,1.0,0.0,1,1.0,1,22.85,Low
B000068PBM,0.6228,0.0645,0,0.0,0.0,1,1.0,1,30.28,Low
B000068PBP,0.3355,0.0645,0,0.0,0.0,1,1.0,1,17.36,Low
B00006K0X1,0.2659,0.0645,0,0.0,0.0,1,1.0,1,14.22,Low
B00008IHO0,0.22160000000000002,0.5285,1,0.0,0.0,2,2.0,2,28.47,Low
B00009RB0X,0.36982499999999996,0.4656,1,0.5,0.0,4,4.0,4,37.94,Medium
B00009RB0Y,0.39249999999999996,0.44,1,0.5,0.0,4,4.0,4,38.06,Medium
B00009RB11,0.893,-0.0,0,1.0,0.0,1,1.0,1,50.18,Medium
B00009RB16,0.51085,0.49,1,0.0,0.0,2,2.0,2,40.14,Medium
B00009RB17,0.2653,0.0645,0,0.0,0.0,1,1.0,1,14.2,Low
B00009RB1B,0.6727,0.0645,0,0.0,0.0,1,1.0,1,32.53,Medium
B00009RB1I,0.45343999999999995,0.5492,1,0.8,0.0,5,5.0,5,47.63,Medium
B0000Y3ICI,0.178,-0.0,0,1.0,0.0,1,1.0,1,18.01,Low
B0000YUZIS,0.2085,0.0645,0,0.0,0.0,1,1.0,1,11.64,Low
B0000ZLF18,0.37464,0.535,1,0.6,0.0,5,5.0,5,41.58,Medium
B00011JJNC,0.4313,0.0645,0,0.0,0.0,1,1.0,1,21.67,Low
B00011JN5G,0.5827117647058824,0.9247,1,0.2353,0.0,17,17.0,17,60.94,Medium
B00011QUDE,0.40113888888888893,0.8769,1,0.5,0.0,18,18.0,18,53.74,Medium
B00012FL8I,0.4207,-0.0,0,1.0,0.0,1,1.0,1,28.93,Low
B000142AN0,0.41545,0.3838,0,0.5,0.0,2,2.0,2,37.13,Medium
B000142KS0,0.3856,0.0645,0,0.0,0.0,1,1.0,1,19.61,Low
B00014FDQQ,0.454,-0.0,0,1.0,0.0,1,1.0,1,30.43,Low
B00014FTTC,0.56825,0.2961,0,0.5,0.0,2,2.0,2,40.93,Medium
B000158MEA,0.5961,-0.0,0,1.0,0.0,1,1.0,1,36.82,Medium
B00016WUHO,0.6307,-0.0,0,1.0,0.0,1,1.0,1,38.38,Medium
B00018TN1S,0.4328,-0.0,0,1.0,0.0,1,1.0,1,29.48,Low
B0001D35FI,0.391,0.419,1,0.6667,0.0,3,3.0,3,38.93,Medium
B0001DBM30,0.531675,0.5089,1,0.25,0.0,4,4.0,4,44.24,Medium
B0001HN0CC,0.1988,0.0645,0,0.0,0.0,1,1.0,1,11.2,Low
B0001HYJW2,0.4173090909090909,0.7638,1,0.5455,0.0,11,11.0,11,50.97,Medium
B0001HYKBC,0.5188333333333334,0.419,1,0.6667,0.0,3,3.0,3,44.68,Medium
B0001HYKBM,0.6141666666666666,0.4641,1,1.0,0.0,3,3.0,3,53.88,Medium
B0001HYKBW,0.4282,0.0645,0,0.0,0.0,1,1.0,1,21.53,Low
B0001HYKC6,0.2918,0.2953,0,0.5,0.0,2,2.0,2,28.47,Low
B0001HYLQG,0.53035,0.5474,1,1.0,0.0,4,4.0,4,53.02,Medium
B0001HYLQQ,0.7599,-0.0,0,1.0,0.0,1,1.0,1,44.2,Medium
B0001HYLR0,0.5838,0.419,1,0.6667,0.0,3,3.0,3,47.6,Medium
B0001HYMG0,0.6225,0.0645,0,0.0,0.0,1,1.0,1,30.27,Low
B0001LQGEW,0.4089,-0.0,0,1.0,0.0,1,1.0,1,28.4,Low
B0001M1IAI,0.1688,0.0645,0,0.0,0.0,1,1.0,1,9.85,Low
B0001UFEXW,0.3307,0.0645,0,0.0,0.0,1,1.0,1,17.14,Low
B00020YY1Y,0.63105,0.2291,0,1.0,0.0,2,2.0,2,46.42,Medium
B000217KFK,0.2031,-0.0,0,1.0,0.0,1,1.0,1,19.14,Low
B00021B4I4,0.6173,-0.0,0,1.0,0.0,1,1.0,1,37.78,Medium
B00021W1GI,0.6791,0.0645,0,0.0,0.0,1,1.0,1,32.82,Medium
B00023IZ1G,0.4779,0.2961,0,0.5,0.0,2,2.0,2,36.87,Medium
B00023J4AW,0.33203,0.7338,1,0.7,0.0,10,10.0,10,47.62,Medium
B00028NMEQ,0.1886,0.0645,0,0.0,0.0,1,1.0,1,10.74,Low
B00028PZB4,0.7854,-0.0,0,1.0,0.0,1,1.0,1,45.34,Medium
B0002AHW2W,0.3722,0.0645,0,0.0,0.0,1,1.0,1,19.01,Low
B0002DHG48,0.5309,0.0645,0,0.0,0.0,1,1.0,1,26.15,Low
B0002DLILU,0.6919,-0.0,0,1.0,0.0,1,1.0,1,41.14,Medium
B0002DO11E,0.26875,0.2953,0,0.5,0.0,2,2.0,2,27.43,Low
B0002DTR9U,0.3806333333333334,0.4627,1,0.3333,0.0,3,3.0,3,36.66,Medium
B0002DU57I,0.6937000000000001,0.419,1,0.6667,0.0,3,3.0,3,52.55,Medium
B0002GFIZE,0.1714,-0.0,0,1.0,0.0,1,1.0,1,17.71,Low
B0002KHT8Y,0.46270000000000006,0.4756,1,0.4,0.0,5,5.0,5,41.47,Medium
B0002KHTCK,0.4241,0.0645,0,0.0,0.0,1,1.0,1,21.34,Low
B0002KHUCO,0.6779,-0.0,0,1.0,0.0,1,1.0,1,40.51,Medium
B0002M5JNY,0.36920000000000003,0.4955,1,0.75,0.0,4,4.0,4,41.46,Medium
B0002RQIZ2,0.16895,0.2953,0,0.5,0.0,2,2.0,2,22.94,Low
B0002SGSNI,0.397025,0.6226,1,0.75,0.0,8,8.0,8,47.16,Medium
B0002SISY0,0.5096999999999999,0.4641,1,1.0,0.0,3,3.0,3,49.18,Medium
B0002TLDRI,0.52825,0.4857,1,0.0,0.0,2,2.0,2,40.77,Medium
B0002YLWOC,0.4857,0.0645,0,0.0,0.0,1,1.0,1,24.11,Low
B0002Z85C8,0.692,0.0645,0,0.0,0.0,1,1.0,1,33.4,Medium
B00030BCS6,0.3507,0.3838,0,0.5,0.0,2,2.0,2,34.21,Medium
B00066013E,0.3347,-0.0,0,1.0,0.0,1,1.0,1,25.06,Low
B0006B0W42,0.41037142857142855,0.8547,1,0.8571,0.0,14,14.0,14,56.95,Medium
B0006LLYTE,0.4971,-0.0,0,1.0,0.0,1,1.0,1,32.37,Medium
B0006LNUB4,0.4979,-0.0,0,1.0,0.0,1,1.0,1,32.41,Medium
B0006NUDCG,0.3435,0.0645,0,0.0,0.0,1,1.0,1,17.72,Low
B0006NXBT8,0.6603,-0.0,0,1.0,0.0,1,1.0,1,39.71,Medium
B0006NY3WW,0.32003333333333334,0.4422,1,0.3333,0.0,3,3.0,3,33.21,Medium
B0006NYVJ2,0.37865,0.2953,0,0.5,0.0,2,2.0,2,32.37,Medium
B0006O028U,0.5555444444444445,0.6338,1,0.5556,0.0,9,9.0,9,52.74,Medium
B0006O2HRO,0.5051,0.4358,1,0.75,0.0,4,4.0,4,45.48,Medium
B0006O4OR0,0.4792,0.0645,0,0.0,0.0,1,1.0,1,23.82,Low
B0006PJTKG,0.63654,0.6269,1,1.0,0.0,5,5.0,5,60.59,Medium
B00078MOKO,0.5095,-0.0,0,1.0,0.0,1,1.0,1,32.93,Medium
B0007D02PI,0.951,-0.0,0,1.0,0.0,1,1.0,1,52.8,Medium
B0007D5DS4,0.5099333333333333,0.5032,1,0.8333,0.0,6,6.0,6,48.89,Medium
B0007KK97M,0.6204,0.0645,0,0.0,0.0,1,1.0,1,30.18,Low
B0007KX8FW,0.3941083333333333,0.7944,1,0.3333,0.0,12,12.0,12,48.87,Medium
B0007KXW1M,0.40959999999999996,0.49,1,0.0,0.0,2,2.0,2,35.58,Medium
B0007PF8SW,0.862,0.0645,0,0.0,0.0,1,1.0,1,41.05,Medium
B0007RB09Q,0.48645000000000005,0.2291,0,1.0,0.0,2,2.0,2,39.91,Medium
B0007U9JSC,0.1995,-0.0,0,1.0,0.0,1,1.0,1,18.98,Low
B0007V9API,0.8493,-0.0,0,1.0,0.0,1,1.0,1,48.22,Medium
B0007VU9O4,0.2701,0.0645,0,0.0,0.0,1,1.0,1,14.41,Low
B0007XQ2W0,0.4291,-0.0,0,1.0,0.0,1,1.0,1,29.31,Low
B0007ZG2WI,0.61605,0.2291,0,1.0,0.0,2,2.0,2,45.74,Medium
B0008F6QGO,0.48115,0.4857,1,0.0,0.0,2,2.0,2,38.65,Medium
B0008GCVU8,0.5742499999999999,0.4277,1,0.5,0.0,4,4.0,4,45.81,Medium
B00094DTSW,0.8105,-0.0,0,1.0,0.0,1,1.0,1,46.47,Medium
B00099ZAGG,0.3038,0.0645,0,0.0,0.0,1,1.0,1,15.93,Low
B0009ET4SG,0.3922,0.5019,1,0.75,0.0,4,4.0,4,42.72,Medium
B0009I4LEE,0.7676,-0.0,0,1.0,0.0,1,1.0,1,44.54,Medium
B0009ION10,0.3995,0.0645,0,0.0,0.0,1,1.0,1,20.24,Low
B0009ION3S,0.5086,-0.0,0,1.0,0.0,1,1.0,1,32.89,Medium
B0009MFUN6,0.2733,0.0645,0,0.0,0.0,1,1.0,1,14.56,Low
B0009MFUO0,0.4481571428571428,0.5704,1,0.4286,0.0,7,7.0,7,44.42,Medium
B0009MFUOA,0.5154454545454545,0.9374,1,0.4091,0.0,22,22.0,22,60.1,Medium
B0009MFUPY,0.48792499999999994,0.5438,1,0.25,0.0,4,4.0,4,43.49,Medium
B0009W7MD2,0.51895,0.2953,0,0.5,0.0,2,2.0,2,38.69,Medium
B000A23CQM,0.5461958333333333,0.9503,1,0.5,0.0,24,24.0,24,62.84,Medium
B000AFILXS,0.2337,-0.0,0,1.0,0.0,1,1.0,1,20.52,Low
B000ALIL6E,0.3896,-0.0,0,1.0,0.0,1,1.0,1,27.53,Low
B000AMG8E0,0.3818,0.0645,0,0.0,0.0,1,1.0,1,19.44,Low
B000AMPICS,0.5211333333333333,0.4641,1,1.0,0.0,3,3.0,3,49.69,Medium
B000AMRIIK,0.44749999999999995,0.8793,1,0.9286,0.0,14,14.0,14,60.2,Medium
B000AP1HXO,0.3722,0.0645,0,0.0,0.0,1,1.0,1,19.01,Low
B000ARUO8G,0.6547,-0.0,0,1.0,0.0,1,1.0,1,39.46,Medium
B000AZ8KY8,0.5861,0.0645,0,0.0,0.0,1,1.0,1,28.63,Low
B000B12EAM,0.41164999999999996,0.2291,0,1.0,0.0,2,2.0,2,36.54,Medium
B000B16AVQ,0.644,-0.0,0,1.0,0.0,1,1.0,1,38.98,Medium
B000B8YZQG,0.69195,0.49,1,0.0,0.0,2,2.0,2,48.29,Medium
B000BC1RZY,0.3803,0.0645,0,0.0,0.0,1,1.0,1,19.37,Low
B000BF0WZC,0.4844,-0.0,0,1.0,0.0,1,1.0,1,31.8,Low
B000BOZ8UM,0.42649166666666666,0.7755,1,0.8333,0.0,12,12.0,12,54.67,Medium
B000BRGJFC,0.8853,-0.0,0,1.0,0.0,1,1.0,1,49.84,Medium
B000C2DYJA,0.9583,-0.0,0,1.0,0.0,1,1.0,1,53.12,Medium
B000COKYTG,0.4829,-0.0,0,1.0,0.0,1,1.0,1,31.73,Low
B000CRXCPG,0.2754,0.0645,0,0.0,0.0,1,1.0,1,14.65,Low
B000CSH3YG,0.3747,0.4641,1,1.0,0.0,3,3.0,3,43.1,Medium
B000DLB27Q,0.5045,-0.0,0,1.0,0.0,1,1.0,1,32.7,Medium
B000E24CR6,0.2788,-0.0,0,1.0,0.0,1,1.0,1,22.55,Low
B000E3FEC2,0.1813,-0.0,0,1.0,0.0,1,1.0,1,18.16,Low
B000E7RQ92,0.2184,0.0645,0,0.0,0.0,1,1.0,1,12.09,Low
B000E8XBW2,0.2183,0.0645,0,0.0,0.0,1,1.0,1,12.08,Low
B000EB423Q,0.5095,-0.0,0,1.0,0.0,1,1.0,1,32.93,Medium
B000ECTKOQ,0.3,-0.0,0,1.0,0.0,1,1.0,1,23.5,Low
B000EGMBPW,0.547,0.4641,1,1.0,0.0,3,3.0,3,50.86,Medium
B000EGOG5A,0.4398,-0.0,0,1.0,0.0,1,1.0,1,29.79,Low
B000EHWHHI,0.7946,0.49,1,0.0,0.0,2,2.0,2,52.91,Medium
B000EMYOA6,0.3159,-0.0,0,1.0,0.0,1,1.0,1,24.22,Low
B000EPUQKK,0.3835,-0.0,0,1.0,0.0,1,1.0,1,27.26,Low
B000EVGPN6,0.8853,-0.0,0,1.0,0.0,1,1.0,1,49.84,Medium
B000F4GLHM,0.24795,0.2961,0,0.5,0.0,2,2.0,2,26.52,Low
B000F7T4XW,0.5558,-0.0,0,1.0,0.0,1,1.0,1,35.01,Medium
B000FCN1PO,0.5386,-0.0,0,1.0,0.0,1,1.0,1,34.24,Medium
B000FCTVP8,0.8449,0.0645,0,0.0,0.0,1,1.0,1,40.28,Medium
B000FED5D0,0.5657857142857143,0.5563,1,0.4286,0.0,7,7.0,7,49.22,Medium
B000FED5DK,0.6095333333333334,0.603,1,0.0,0.0,3,3.0,3,48.53,Medium
B000FEF1V4,0.4394854166666667,0.9711,1,0.5,0.0,48,48.0,48,58.77,Medium
B000FEF1VE,0.285325,0.4457,1,0.5,0.0,4,4.0,4,33.44,Medium
B000FEGUIM,0.4379071428571429,0.8596,1,0.1429,0.0,14,14.0,14,51.22,Medium
B000FEGUIW,0.5312307692307693,0.7873,1,0.4615,0.0,13,13.0,13,56.08,Medium
B000FEGUJ6,0.2906,-0.0,0,1.0,0.0,1,1.0,1,23.08,Low
B000FEIOHW,0.40647500000000003,0.9607,1,0.6111,0.0,36,36.0,36,58.03,Medium
B000FGVLI4,0.5232,-0.0,0,1.0,0.0,1,1.0,1,33.54,Medium
B000FL6HEC,0.1542,0.456,1,0.6667,0.0,3,3.0,3,29.57,Low
B000FQMMWI,0.46996666666666664,0.4641,1,1.0,0.0,3,3.0,3,47.39,Medium
B000FQMTNK,0.4381333333333333,0.3924,1,0.6667,0.0,3,3.0,3,40.12,Medium
B000FQSAS8,0.4559,-0.0,0,1.0,0.0,1,1.0,1,30.52,Low
B000FQT4AQ,0.6939,-0.0,0,1.0,0.0,1,1.0,1,41.23,Medium
B000G386MU,0.37705,0.2291,0,1.0,0.0,2,2.0,2,34.99,Medium
B000G8LWZI,0.43700714285714287,0.8134,1,0.6429,0.0,14,14.0,14,54.56,Medium
B000GBICYE,0.335252,0.9685,1,0.76,0.0,25,25.0,25,56.58,Medium
B000GBID0M,0.36694999999999994,0.7939,1,0.75,0.0,12,12.0,12,51.8,Medium
B000GBID20,0.18045,0.4857,1,0.0,0.0,2,2.0,2,25.12,Low
