product_id,temporal_score,is_anomaly
069267599X,0.2961,0
1453085815,0.2953,0
1598438263,-0.0,0
1601163509,-0.0,0
4293845755,0.0645,0
6041134546,-0.0,0
816091846,0.2291,0
975318283X,-0.0,0
979077530X,0.4641,1
985393300,-0.0,0
B000050FDE,0.7151,1
B000052Y7Q,0.0645,0
B0000532XP,-0.0,0
B00005NAR4,0.0645,0
B000067E30,0.4917,1
B000068PBJ,0.4656,1
B000068PBL,-0.0,0
B000068PBM,0.0645,0
B000068PBP,0.0645,0
B00006K0X1,0.0645,0
B00008IHO0,0.5285,1
B00009RB0X,0.4656,1
B00009RB0Y,0.44,1
B00009RB11,-0.0,0
B00009RB16,0.49,1
B00009RB17,0.0645,0
B00009RB1B,0.0645,0
B00009RB1I,0.5492,1
B0000Y3ICI,-0.0,0
B0000YUZIS,0.0645,0
B0000ZLF18,0.535,1
B00011JJNC,0.0645,0
B00011JN5G,0.9247,1
B00011QUDE,0.8769,1
B00012FL8I,-0.0,0
B000142AN0,0.3838,0
B000142KS0,0.0645,0
B00014FDQQ,-0.0,0
B00014FTTC,0.2961,0
B000158MEA,-0.0,0
B00016WUHO,-0.0,0
B00018TN1S,-0.0,0
B0001D35FI,0.419,1
B0001DBM30,0.5089,1
B0001HN0CC,0.0645,0
B0001HYJW2,0.7638,1
B0001HYKBC,0.419,1
B0001HYKBM,0.4641,1
B0001HYKBW,0.0645,0
B0001HYKC6,0.2953,0
B0001HYLQG,0.5474,1
B0001HYLQQ,-0.0,0
B0001HYLR0,0.419,1
B0001HYMG0,0.0645,0
B0001LQGEW,-0.0,0
B0001M1IAI,0.0645,0
B0001UFEXW,0.0645,0
B00020YY1Y,0.2291,0
B000217KFK,-0.0,0
B00021B4I4,-0.0,0
B00021W1GI,0.0645,0
B00023IZ1G,0.2961,0
B00023J4AW,0.7338,1
B00028NMEQ,0.0645,0
B00028PZB4,-0.0,0
B0002AHW2W,0.0645,0
B0002DHG48,0.0645,0
B0002DLILU,-0.0,0
B0002DO11E,0.2953,0
B0002DTR9U,0.4627,1
B0002DU57I,0.419,1
B0002GFIZE,-0.0,0
B0002KHT8Y,0.4756,1
B0002KHTCK,0.0645,0
B0002KHUCO,-0.0,0
B0002M5JNY,0.4955,1
B0002RQIZ2,0.2953,0
B0002SGSNI,0.6226,1
B0002SISY0,0.4641,1
B0002TLDRI,0.4857,1
B0002YLWOC,0.0645,0
B0002Z85C8,0.0645,0
B00030BCS6,0.3838,0
B00066013E,-0.0,0
B0006B0W42,0.8547,1
B0006LLYTE,-0.0,0
B0006LNUB4,-0.0,0
B0006NUDCG,0.0645,0
B0006NXBT8,-0.0,0
B0006NY3WW,0.4422,1
B0006NYVJ2,0.2953,0
B0006O028U,0.6338,1
B0006O2HRO,0.4358,1
B0006O4OR0,0.0645,0
B0006PJTKG,0.6269,1
B00078MOKO,-0.0,0
B0007D02PI,-0.0,0
B0007D5DS4,0.5032,1
B0007KK97M,0.0645,0
B0007KX8FW,0.7944,1
B0007KXW1M,0.49,1
B0007PF8SW,0.0645,0
B0007RB09Q,0.2291,0
B0007U9JSC,-0.0,0
B0007V9API,-0.0,0
B0007VU9O4,0.0645,0
B0007XQ2W0,-0.0,0
B0007ZG2WI,0.2291,0
B0008F6QGO,0.4857,1
B0008GCVU8,0.4277,1
B00094DTSW,-0.0,0
B00099ZAGG,0.0645,0
B0009ET4SG,0.5019,1
B0009I4LEE,-0.0,0
B0009ION10,0.0645,0
B0009ION3S,-0.0,0
B0009MFUN6,0.0645,0
B0009MFUO0,0.5704,1
B0009MFUOA,0.9374,1
B0009MFUPY,0.5438,1
B0009W7MD2,0.2953,0
B000A23CQM,0.9503,1
B000AFILXS,-0.0,0
B000ALIL6E,-0.0,0
B000AMG8E0,0.0645,0
B000AMPICS,0.4641,1
B000AMRIIK,0.8793,1
B000AP1HXO,0.0645,0
B000ARUO8G,-0.0,0
B000AZ8KY8,0.0645,0
B000B12EAM,0.2291,0
B000B16AVQ,-0.0,0
B000B8YZQG,0.49,1
B000BC1RZY,0.0645,0
B000BF0WZC,-0.0,0
B000BOZ8UM,0.7755,1
B000BRGJFC,-0.0,0
B000C2DYJA,-0.0,0
B000COKYTG,-0.0,0
B000CRXCPG,0.0645,0
B000CSH3YG,0.4641,1
B000DLB27Q,-0.0,0
B000E24CR6,-0.0,0
B000E3FEC2,-0.0,0
B000E7RQ92,0.0645,0
B000E8XBW2,0.0645,0
B000EB423Q,-0.0,0
B000ECTKOQ,-0.0,0
B000EGMBPW,0.4641,1
B000EGOG5A,-0.0,0
B000EHWHHI,0.49,1
B000EMYOA6,-0.0,0
B000EPUQKK,-0.0,0
B000EVGPN6,-0.0,0
B000F4GLHM,0.2961,0
B000F7T4XW,-0.0,0
B000FCN1PO,-0.0,0
B000FCTVP8,0.0645,0
B000FED5D0,0.5563,1
B000FED5DK,0.603,1
B000FEF1V4,0.9711,1
B000FEF1VE,0.4457,1
B000FEGUIM,0.8596,1
B000FEGUIW,0.7873,1
B000FEGUJ6,-0.0,0
B000FEIOHW,0.9607,1
B000FGVLI4,-0.0,0
B000FL6HEC,0.456,1
B000FQMMWI,0.4641,1
B000FQMTNK,0.3924,1
B000FQSAS8,-0.0,0
B000FQT4AQ,-0.0,0
