review_id,product_id,fake_prob
r0000000,B07CVHWC68,0.5335
r0000001,B00T6PYPII,0.4643
r0000002,B000A23CQM,0.4655
r0000003,B00KDIW98K,0.2441
r0000004,B09LR3G8QL,0.4006
r0000005,B09NMDKNDS,0.487
r0000006,B010813L3I,0.3939
r0000007,B2AG92R8ZC,0.98
r0000008,B00NN1PJHW,0.4687
r0000009,B00FBQ9I24,0.4032
r0000010,B00Y077ESA,0.3868
r0000011,B001HK555M,0.45
r0000012,B010BJYPHI,0.4583
r0000013,B00AEG9HCC,0.393
r0000014,B00WZOH1KQ,0.6034
r0000015,B0894LZTJD,0.2609
r0000016,B01N5GPXG2,0.2751
r0000017,B075X93H5G,0.2618
r0000018,B071ZZBK6H,0.4103
r0000019,B01EU00VHM,0.2843
r0000020,B017SEPX20,0.5006
r0000021,B07BBH585X,0.6291
r0000022,B0067BAIM6,0.1288
r0000023,B019VXW3AG,0.1032
r0000024,B075DZNYXT,0.469
r0000025,B074J3QG76,0.4657
r0000026,B01FF3V870,0.2226
r0000027,B085BN8S19,0.3266
r0000028,B07V2RWFR3,0.4594
r0000029,B07YFWS1Y3,0.3869
r0000030,B073DDTGQ4,0.9582
r0000031,B07XD14NJD,0.2316
r0000032,B01AHJY50Y,0.2531
r0000033,B00JLH4NF6,0.451
r0000034,B007IAM4YU,0.7487
r0000035,B019FT4Q06,0.2763
r0000036,BFSO9E9SPJ,0.943
r0000037,B08SJBD8CQ,0.4928
r0000038,BSJH82GF4E,0.98
r0000039,B01MAUVEDI,0.4113
r0000040,B0887WSTJ4,0.2943
r0000041,B07PWLXFR5,0.5633
r0000042,B01GS7QKQQ,0.3142
r0000043,B097T8ZDVB,0.241
r0000044,B071S98JST,0.2948
r0000045,B08XWMC536,0.3107
r0000046,B001E77MMC,0.1481
r0000047,B07W57P2XG,0.1708
r0000048,B0872VFP6K,0.4807
r0000049,B07DSC6TWW,0.2122
r0000050,B072MRPBGF,0.2561
r0000051,B08DM9N8XQ,0.1652
r0000052,B00R1TAN7I,0.4935
r0000053,B08HWH55LX,0.4043
r0000054,B01GQ8Q9EU,0.7061
r0000055,BPO5CG5A8B,0.9777
r0000056,B00J88E1MI,0.4994
r0000057,BHA5W19OWL,0.8143
r0000058,B086C61XHH,0.1924
r0000059,B07JDJ68CQ,0.469
r0000060,B00L4JJKH0,0.5955
r0000061,B004Z90XMM,0.2197
r0000062,B07T2L6JQR,0.7824
r0000063,B08NHYWM6V,0.2143
r0000064,B08Z1J2FD1,0.3283
r0000065,B072YJZJGR,0.2989
r0000066,B000O5XP3U,0.6436
r0000067,B07FV731Q6,0.4327
r0000068,B09527LPT3,0.2833
r0000069,BL6ZAKYIWT,0.9629
r0000070,B01N5WHE2C,0.3796
r0000071,BGOASVX0E4,0.98
r0000072,B019FT4Q06,0.2501
r0000073,B077TBSVK8,0.6462
r0000074,BD6LUK95QD,0.9653
r0000075,B08DKG8TJJ,0.417
r0000076,B00J9PPN8Q,0.4346
r0000077,B07HWX4TMM,0.56
r0000078,B01E1SLP6Y,0.388
r0000079,B078MPG77R,0.9218
r0000080,B01BJCLNIA,0.9218
r0000081,B0886H4MP9,0.4846
r0000082,B08BS3TC3J,0.1537
r0000083,B077WLCG6D,0.6361
r0000084,B0B4MR9BXN,0.3915
r0000085,B07M6Z185S,0.3344
r0000086,BW3HDUEH02,0.9629
r0000087,B00Q7N8J2A,0.2091
r0000088,B000VOFNDE,0.8335
r0000089,B0107QYW14,0.6103
r0000090,BO89AQ2VVJ,0.9236
r0000091,B00K0QV1QQ,0.2454
r0000092,B07RQGQPP5,0.2436
r0000093,B07JKFGCXG,0.7242
r0000094,B00WAJ9HB2,0.2668
